794,2450-A,106C
795,2450-B,106C
796,2452 (1537),107B
797,247-P,501A
798,2509 (1576),306A
799,252-P,501A
800,253-P,501A
801,2542-B,302C-4
801,2542-B,5
801,2542-B,6
802,255-P,501A
803,2679A,112A
804,2679B,112A
805,2679C,112A
806,2717 (1847),116B
807,272-A,501C
808,277-P,501C
809,283-A,501A
810,283-B,501A
811,283-C,501A
812,2845-A,115B
812,2845-A,308A
813,2949-P,115B
814,2B,202A
814,2B,201B
815,3-B,201B
816,3-C,201B
817,3006 (2727A),113B
818,3007 (2727B),112B
819,3009 (2779A),113C
819,3009 (2779A),116C
820,305-P,502A
820,305-P,502B
821,305-P,502A
822,307-P/ 307-B,502A
822,307-P/ 307-B,502B
823,310-A,502A
824,310-B,502A
825,311-P,502B
826,3172-B,409B
827,3191&3192P,411E
828,3193-A,411E
828,3193-A,411C
829,3193-B,411E
829,3193-B,411C
830,32 (1364),103B
831,32-A,403E
832,32-B,403E
833,3203-P,411E
834,3203-P,411E
835,3203-P (3),411E
836,321-P/ 321-A/ 32P (DOLE),501A
837,3211-A,411A
838,3211-B,411A
839,3211-C,411E
840,3253-A,503B
841,3253-B,503B
842,3254-A,503B
843,3254-B,503B
844,3272-A,410B
845,3272-B,410B
846,33 (1351),103B
847,3304/3303,411D
848,37-A,205A
848,37-A,205B
849,37-B,205A
849,37-B,205B
850,371-E,502C
851,4-A/1,412B
851,4-A/1,412A
852,411-A,309D
853,421-P,504B
854,430-P,504B
855,571-B,504B
856,574-A,504B
857,574-P/ 574-B,504B
858,6434 EXT.,NOT PLANTED
859,702-P,503A
860,"8285-A, (2779-P)",116C
861,91-B,402B
862,9356-B (2542-A),302C-4
862,9356-B (2542-A),5
862,9356-B (2542-A),6
863,95 (820),503D
863,95 (820),504A
864,96 (819),503D
864,96 (819),504A
865,97 (818),503D
865,97 (818),504A
866,98 (817),503D
867,99 (816),503C11
867,99 (816),503D
867,99 (816),504A
868,F-(VIII-4),CAN'T LOCATE
869,F-(VIII-4),CAN'T LOCATE
870,F-37-598-D/ 598-E,108D
871,F-19-2-1067-D,303C
872,F-19-2-1068-D,303C
872,F-19-2-1068-D,404B
873,F-19-2-1069-D,303C
874,FV-19-3610-D,303B
875,HV-53904-D,202A
875,HV-53904-D,202B
876,NONE,CAN'T LOCATE
877,PLAN,410A
878,5,412A
878,5,412B
879,SA-SI-II,CAN'T LOCATE
880,SI-VI-1756,CAN'T LOCATE
881,SI-VI-1756,CAN'T LOCATE
882,C-1,KALSANGI
883,1,309D
883,1,309C
884,2194,102B
885,2785,117D
886,3120,406A
887,3122,406A
888,3124,CAN'T LOCATE
889,3125,406C
890,248,501A
891,1,203A
892,3,203A
893,1-C,201C
894,1-E,CAN'T LOCATE
895,1-G,CAN'T LOCATE
896,1-J,CAN'T LOCATE
897,1-K,201C
